trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.835270211411272}",30,19,-42.35495530991991,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-148.06085145431524,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-88.32135722855449,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-117.58680002205101,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-122.90618777561038,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-93.35702939470278,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-103.5028918145371,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-58.31441537332499,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-139.02072609751278,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,12,-9.525263267396259,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-113.52946117551494,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-177.02621456722352,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-105.83747385993836,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-21.073513500390913,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,10,-28.801843305040226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,4,-23.374920134945683,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,18,-28.0561399774675,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,3,-55.21549802905778,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-36.30499222898709,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-151.4973481493228,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,17,-34.90661471529414,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
